  ,,,,,,,,
,,,,,,,,
Timezones:,ATC,NAN,Nain,,Qualification:,,0,No event identified
,EDT,CDR,Cape Dorset,,,,1,Event is possible but not signifigantly clear
,,CRV,Clyde River,,,,2,Event is identified
,,CHB,Coral Harbour,,,,3,"Event is identified but also has a sharp change, "
,,IGL,Igloolik,,,,,"large amplitude, and notable structure"
,,PGG,Pangirtung,,,,,
,CDT,RBY,Repulse Bay,,Ebre,,> Data of the observatories have been obtained from INTERMAGNET source.,
,MDT,GJO,Gjoa Haven,,Acknowledgements,,  We thank the national institutes that support them and INTERMAGNET for promoting,
,,PBY,Pelly Bay,,,,  high standards of magnetic observatory practice. (www.intermagnet.org),
,,,,,,,,
,,,,,,,,
YEAR,DATE (UTC),TIME (UTC),DATE/TIME (UTC),TYPE,QUALIFICATION,,,
2016,1/18/2016,21:57,1/18/2016 21:57,SSC,2 2 2 2 2,,,
2016,3/14/2016,17:14,3/14/2016 17:14,SSC,0 0 2 2 2,,,
2016,4/14/2016,7:35,4/14/2016 7:35,SSC,1 0 0 1 1,,,
2016,7/19/2016,23:51,7/19/2016 23:51,SSC,2 2 2 2 2,,,
2016,10/12/2016,22:12,10/12/2016 22:12,SSC,2 2 2 2 2,,,
2016,11/9/2016,6:43,11/9/2016 6:43,SSC,0 0 2 2 2,,,
,,,,,,,,
2017,1/26/2017,8:15,1/26/2017 8:15,SSC,3 3 3 3 3,,,
2017,4/21/2017,15:19,4/21/2017 15:19,SI,1 0 1 1 1,,,
2017,5/4/2017,21:23,5/4/2017 21:23,SI,3 3 3 3 2,,,
2017,5/15/2017,9:16,5/15/2017 9:16,SI,1 1 1 1 1,,,
2017,5/27/2017,15:34,5/27/2017 15:34,SSC,0 0 2 3 3,,,
2017,6/11/2017,14:40,6/11/2017 14:40,SI,0 1 2 2 2,,,
2017,7/3/2017,3:16,7/3/2017 3:16,SI,1 2 2 2 1,,,
2017,7/9/2017,0:10,7/9/2017 0:10,SSC,1 0 1 1 1,,,
2017,7/16/2017,5:59,7/16/2017 5:59,SSC,3 3 3 3 3,,,
2017,8/31/2017,5:38,8/31/2017 5:38,SSC,2 2 2 1 1,,,
2017,9/6/2017,23:43,9/6/2017 23:43,SSC,3 3 3 3 2,,,
2017,9/7/2017,23:00,9/7/2017 23:00,SSC,3 3 3 3 0,,,
2017,9/12/2017,20:02,9/12/2017 20:02,SSC,2 2 2 3 2,,,
2017,9/14/2017,11:16,9/14/2017 11:16,SSC,1 1 1 1 1,,,
2017,10/21/2017,6:10,10/21/2017 6:10,SSC,1 0 1 2 2,,,
2017,11/25/2017,0:34,11/25/2017 0:34,SI,3 1 1 2 3,,,
2017,11/27/2017,14:42,11/27/2017 14:42,SI,2 2 3 3 3,,,
2017,12/4/2017,16:13,12/4/2017 16:13,SSC,2 2 2 2 3,,,
,,,,,,,,
2018,1/8/2018,6:46,1/8/2018 6:46,SSC,3 3 3 3 3,,,
2018,2/15/2018,8:35,2/15/2018 8:35,SSC,2 2 3 3 2,,,
2018,3/9/2018,18:06,3/9/2018 18:06,SSC,3 3 3 3 3,,,
2018,4/20/2018,0:21,4/20/2018 0:21,SSC,3 3 3 3 3,,,
2018,5/5/2018,10:25,5/5/2018 10:25,SSC,3 2 2 2 3,,,
2018,5/22/2018,12:18,5/22/2018 12:18,SI,2 1 2 2 2,,,
2018,5/31/2018,14:46,5/31/2018 14:46,SSC,1 1 1 2 1,,,
2018,7/5/2018,17:52,7/5/2018 17:52,SSC,2 2 2 2 2,,,
2018,7/30/2018,11:58,7/30/2018 11:58,SI,1 1 2 1 2,,,
2018,9/29/2018,0:53,9/29/2018 0:53,SSC,1 1 2 2 1,,,
2018,10/13/2018,17:34,10/13/2018 17:34,SI,2 1 0 2 1,,,
,,,,,,,,
2019,3/24/2019,21:51,3/24/2019 21:51,SI,3 1 3 3 3,,,
2019,5/10/2019,17:54,5/10/2019 17:54,SSC,1 2 3 2 3,,,
2019,5/26/2019,22:14,5/26/2019 22:14,SSC,3 3 3 3 2,,,
2019,6/8/2019,9:59,6/8/2019 9:59,SSC,2 2 2 3 3,,,
2019,7/8/2019,19:22,7/8/2019 19:22,SSC,3 3 3 3 3,,,
2019,7/21/2019,22:28,7/21/2019 22:28,SSC,1 1 1 1 2,,,
2019,7/27/2019,9:07,7/27/2019 9:07,SSC,1 1 1 2 1,,,
2019,8/4/2019,7:16,8/4/2019 7:16,SI,3 3 3 3 2,,,
2019,9/24/2019,13:10,9/24/2019 13:10,SSC,2 2 3 2 2,,,
2019,9/27/2019,5:55,9/27/2019 5:55,SSC,2 2 2 3 3,,,
2019,11/16/2019,12:55,11/16/2019 12:55,SSC,2 1 1 2 2,,,
